id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	automation	-0.4984	-0.3389	1	45	211	31	2021.3548
2	big data	-0.954	-0.3017	1	35	132	18	2020.3333
3	blockchain	0.5423	-0.4237	2	38	198	20	2021.4
4	business	-0.4068	0.1558	1	39	141	18	2020.8889
5	collaboration	0.0469	0.4993	3	37	150	29	2021.7931
6	communication technology	-0.921	-0.5309	1	28	86	13	2020.2308
7	company	-0.5406	0.4218	1	42	187	34	2020.9412
8	covid	0.7492	-0.2588	2	38	145	17	2021.2941
9	cyber physical system	-0.2224	-0.3071	1	29	69	15	2021.1333
10	digital technology	-0.3963	-0.3467	1	40	142	22	2020.9091
11	digital transformation	0.3437	-0.5161	2	42	198	18	2021.2222
12	digital twin	0.6647	0.3237	2	39	217	24	2021.7083
13	education	-1.0077	0.1922	1	24	58	19	2020.8421
14	factory	0.6697	-0.0119	2	40	237	25	2021.16
15	fifth industrial revolution	-0.5463	0.5083	1	32	95	19	2021.2105
16	fourth industrial revolution	-0.5962	-0.603	1	32	87	17	2020.8235
17	framework	0.5946	0.41	2	42	283	47	2021.5532
18	government	-1.0148	-0.0581	1	35	125	16	2020.25
19	healthcare	0.4453	-0.5657	2	38	190	20	2021.25
20	industrial revolution	-0.9585	0.0621	1	41	171	32	2021.0312
21	information	-0.8239	-0.1242	1	42	183	33	2020.8182
22	interaction	-0.3233	0.6287	1	37	156	31	2021.3226
23	internet	-0.5898	-0.2775	1	43	187	30	2020.9667
24	iot	-0.43	-0.5868	1	42	154	23	2021.1739
25	knowledge	-0.6851	0.314	1	40	110	21	2020.5238
26	mass customization	1.1579	-0.3165	2	30	136	14	2020.7143
27	operator	0.7756	0.5107	2	41	240	35	2021.4857
28	opportunity	-0.3929	-0.2226	1	41	197	34	2021.2647
29	organization	-0.6211	0.1859	1	41	160	23	2020.8696
30	paradigm	0.3804	0.2769	2	43	282	37	2021.3784
31	performance	0.9644	0.2005	2	38	199	28	2021.5
32	person	-0.8582	0.2751	1	41	167	25	2020.76
33	personalization	-0.6169	0.044	1	38	135	24	2021.5417
34	production process	-0.1492	0.6939	1	37	99	18	2021.5
35	production system	0.8742	0.2669	2	40	190	25	2021.4
36	quality	0.6303	0.0956	2	42	170	21	2020.8571
37	resilience	1.2525	-0.0312	2	32	147	17	2021.2941
38	revolution	-0.647	-0.0784	1	39	131	23	2021.3478
39	robotic	0.1771	-0.3023	2	44	248	27	2020.7037
40	simulation	1.3617	0.0906	2	31	161	17	2021.5294
41	smart manufacturing	0.938	-0.2501	2	38	149	15	2020.8667
42	supply chain	0.7535	-0.526	2	36	177	17	2021.3529
43	sustainability	0.7972	-0.0702	2	39	232	33	2021.2727
44	technique	0.4828	-0.2356	2	42	205	24	2021.2917
45	transition	-0.2568	0.0054	1	30	66	14	2021.6429
46	user	-0.3258	0.3525	1	34	78	15	2021.0667
47	worker	0.1808	0.7702	3	35	159	37	2021.2973
