id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	ability	-0.1567	0.9042	1	50	127	21	2021
2	advance	0.3289	-0.4733	2	68	408	42	2021.0952
3	architecture	-0.0409	-0.4604	4	70	394	54	2021.5185
4	big data	-0.3127	-0.8692	4	58	275	39	2020.7949
5	blockchain	0.3113	-0.3687	2	59	354	34	2021.4118
6	business model	-0.9402	-0.1342	1	55	233	30	2021.2
7	capability	0.3117	0.0371	3	62	249	40	2021.625
8	circular economy	-0.6405	-0.4473	4	41	136	20	2021.55
9	collaboration	0.5555	-0.0637	3	64	274	46	2021.587
10	condition	-0.4843	0.4502	1	70	255	34	2020.9412
11	control	0.6596	-0.5638	2	62	349	41	2021.439
12	covid	0.1249	0.5138	2	61	318	33	2021.3939
13	creation	-0.6296	-0.2174	3	63	307	42	2020.881
14	customer	-0.9592	-0.5969	1	42	132	21	2020.4286
15	cyber physical system	0.4141	-0.1919	3	58	290	34	2021.2059
16	difference	0.052	0.2097	3	54	130	26	2021.0385
17	digital technology	-0.1506	-0.6938	3	63	248	26	2021.1154
18	digital transformation	0.3069	-0.1448	2	75	458	46	2021.5435
19	digital twin	0.8594	0.1164	2	62	314	29	2021.6552
20	digitalization	-0.6487	0.0865	1	62	256	33	2021.2121
21	driver	-0.3321	-0.0851	3	62	236	34	2021.2353
22	economy	-0.6072	0.455	1	72	348	55	2020.8364
23	education	-0.5624	0.6622	1	55	223	45	2020.6222
24	effect	-0.6481	0.2151	1	65	218	36	2020.7222
25	energy	0.1582	0.625	2	69	377	35	2021.1143
26	engineer	0.9336	0.7549	2	48	223	18	2021.4444
27	engineering	0.5926	0.6521	2	62	272	32	2021.0938
28	enterprise	-0.4887	-0.5388	3	59	223	40	2021.25
29	factor	-0.0447	0.4327	3	58	217	43	2020.9535
30	factory	0.9865	-0.0311	2	65	392	43	2021.0233
31	foundation	-0.6636	0.6491	1	44	148	27	2021.4815
32	fourth industrial revolution	-0.4696	-0.221	1	61	313	43	2020.6512
33	government	-0.8536	0.0922	1	63	238	37	2020.6486
34	human	0.1798	-0.615	3	70	444	75	2021.56
35	human factor	0.7443	0.4627	3	49	186	22	2021.4091
36	ict	-0.2403	0.2697	1	45	147	21	2021.3333
37	identification	0.624	-0.4966	2	59	296	31	2021.2581
38	improvement	0.3715	0.4272	2	70	408	46	2021.3478
39	industrial revolution	-0.8273	0.1879	1	71	360	56	2020.9821
40	interaction	0.3869	-0.5297	3	68	373	57	2021.4211
41	internet	-0.4855	-0.7144	4	72	600	73	2021.1644
42	iot	0.0895	-0.7521	4	71	453	54	2021.3704
43	knowledge	-0.3357	0.4509	1	71	324	57	2020.8421
44	life	-0.8057	-0.4324	1	66	304	48	2020.3333
45	machine learning	-0.1754	-0.9886	3	46	147	18	2021.2778
46	manufacturing industry	0.1736	0.7505	1	42	126	30	2021.0333
47	mass customization	1.1313	0.3658	2	41	190	20	2020.6
48	operation	0.5196	0.2458	2	69	404	46	2021.5652
49	operator	1.1738	-0.2376	2	61	404	47	2021.5319
50	opportunity	-0.8011	-0.0885	1	70	411	62	2021.3065
51	optimization	0.742	-0.3371	2	62	378	41	2021.439
52	pandemic	-0.8657	0.4564	1	44	179	26	2021.4231
53	paradigm	0.3981	0.2681	2	73	511	61	2021.2623
54	possibility	0.0438	0.8851	1	55	197	26	2021.5769
55	potential	-0.0839	0.8444	1	56	230	36	2021.0833
56	production process	-0.1372	-0.58	3	64	250	32	2021.5
57	relationship	-0.7214	0.5154	1	56	236	44	2021.1364
58	resilience	0.6021	0.4794	2	65	326	39	2021.6667
59	resource	-0.3589	0.7422	1	68	341	53	2021.2264
60	revolution	-0.5325	0.0047	1	65	278	43	2020.7907
61	risk	0.3551	0.6092	2	67	323	30	2021
62	robot	0.8096	-0.1341	2	70	451	53	2021.0943
63	robotic	0.5061	-0.4249	2	74	485	48	2021.0208
64	security	-0.1013	-0.7842	4	65	326	44	2020.9773
65	sensor	0.0548	-1.0371	3	61	259	31	2021.2903
66	simulation	0.914	-0.3047	2	64	368	43	2021.6512
67	skill	-0.2301	0.6615	1	63	274	37	2020.9189
68	smart manufacturing	0.891	-0.5676	2	60	310	32	2021.25
69	sustainable development	-0.5594	0.3385	1	70	388	48	2021.2917
70	sustainable development goal	-0.4963	0.7973	1	52	195	30	2021.3333
71	technique	0.5715	0.0615	2	66	358	48	2021.1042
72	technological innovation	-0.8749	-0.2098	1	53	178	23	2020.4348
73	thing	-0.3662	-0.7885	4	71	543	65	2021.2923
74	transition	-0.4855	-0.0845	3	67	348	48	2021.3125
75	uncertainty	0.8234	0.3219	2	57	227	22	2020.9545
76	understanding	0.1386	-0.3098	3	54	208	36	2020.9722
77	user	-0.0329	-0.9686	3	53	178	24	2021
78	worker	0.3115	0.4849	3	62	273	43	2020.907
