id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	artificial intelligence	-0.1147	0.3764	1	32	342	62	2020.8548
2	automation	0.5108	0.2467	2	32	214	38	2021.3684
3	big data	0.5269	0.7303	2	28	141	29	2020.6552
4	blockchain	-0.6282	0.7191	1	29	208	30	2021.3333
5	company	0.1425	-0.7109	2	32	250	61	2021.1639
6	digital transformation	-0.6956	0.3644	1	32	259	35	2021.4571
7	era	-0.8435	-0.2908	1	31	265	54	2021.1481
8	fourth industrial revolution	0.9007	0.008	2	31	178	36	2020.6389
9	future	-0.0546	-0.1585	1	32	319	60	2020.6167
10	human	0.6754	0.0626	2	31	213	57	2021.4211
11	innovation	0.364	-0.4907	2	32	375	90	2021.0222
12	integration	-0.1071	0.777	1	32	194	45	2021.2889
13	internet	0.3015	0.8643	2	32	271	56	2021.1071
14	iot	0.6553	0.7649	2	30	204	40	2021.275
15	knowledge	0.8564	-0.3858	2	32	140	46	2020.6739
16	machine	0.7714	0.3537	2	31	210	41	2021.4634
17	manufacturing	0.0174	0.5199	1	32	427	91	2021.2198
18	operation	-0.8106	0.1451	1	31	239	35	2021.4857
19	opportunity	0.6128	-0.4352	2	32	213	47	2021.2128
20	organization	0.2911	-0.9981	2	31	231	51	2020.9216
21	paradigm	-0.852	-0.0094	1	31	265	47	2021.1064
22	performance	-0.2467	-0.4716	1	31	262	62	2021.371
23	person	0.5376	-0.6717	2	31	164	45	2020.6
24	product	-0.4322	-0.4571	1	32	320	62	2021.1774
25	productivity	0.4175	0.1136	2	32	153	33	2020.8788
26	quality	-0.5908	-0.6802	1	32	226	37	2020.5946
27	resilience	-0.7195	-0.49	1	30	208	33	2021.4545
28	robotic	-0.421	0.3473	1	32	264	39	2020.8462
29	service	-0.5328	-0.0579	1	32	336	53	2021.3208
30	smart manufacturing	-0.5404	0.8901	1	31	204	30	2021.2333
31	supply chain	-0.2711	-0.0513	1	32	282	50	2021.48
32	sustainability	-0.2634	-0.7201	1	32	486	98	2021.3469
33	sustainable development	0.5431	-0.2043	2	31	173	38	2021.3947
